,Ticker,Sample Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
412,ZION,3,11558,66534,-1.710582283464567,-1.5820622834645668,0.17371569423152072,-0.9157868503937002,-0.9157868503937004,1.1247366517612705,0.9987438404099848,0.0010268503937002071,0.0791468503937004,-0.707106339149272,-0.7037777656360725,-1.5000000000000009,-1.4999999999999998,[-3.3012     -0.91578685 -0.91476   ],[-2.99376    -0.91578685 -0.83664   ],[-3.3012     -0.91578685 -0.91476   ],[-2.99376    -0.91578685 -0.83664   ],-3.3012,-2.99376
413,MNST,3,41480,127270,-2.4447422834645667,-2.3221022834645666,0.32592126974149443,-2.92572,-2.19492,1.1056373085955724,1.2035383496368735,0.5670000000000002,1.2791331496062996,0.5702086163847825,-0.15733041741756212,-1.5000000000000009,-1.5,[-3.49272    -2.92572    -0.91578685],[-3.8556     -2.19492    -0.91578685],[-3.49272    -2.92572    -0.91578685],[-3.8556     -2.19492    -0.91578685],-2.92572,-3.8555999999999995
414,DGX,3,18759,56908,-1.6450622834645667,-1.645902283464567,0.3296373093413931,-0.9157868503937002,-0.9157868503937004,1.0986821515981544,1.047556222454971,0.09426685039370031,0.021186850393700385,-0.7032046849297309,-0.7068898549675944,-1.5,-1.5000000000000004,[-3.19788    -0.91578685 -0.82152   ],[-3.12732    -0.91578685 -0.8946    ],[-3.19788    -0.91578685 -0.82152   ],[-3.12732    -0.91578685 -0.8946    ],-1.3922776224000002,-1.224219528
415,ROK,3,18853,84781,-0.6874622834645666,-0.6043022834645669,0.2223729373326571,-0.9157868503937002,-0.9157868503937004,1.8270691657218912,1.6423746220998166,1.8864531496062997,1.5260931496062997,0.18549988740972242,0.2776608024563267,-1.4999999999999996,-1.5000000000000004,[-2.80224    -0.91578685  1.65564   ],[-2.44188    -0.91578685  1.54476   ],[-2.80224    -0.91578685  1.65564   ],[-2.44188    -0.91578685  1.54476   ],-5.786100633599999,-4.669238548800001
416,CMT,3,181,1034,2.8354977165354334,2.8279377165354336,0.17504835589941972,2.8476,3.465,3.0579822604849016,2.8327061578134725,3.72708,2.4696000000000007,-0.005936344326723147,-0.3259682104855129,-1.4999999999999998,-1.4999999999999998,[-0.91578685  2.8476      6.57468   ],[-0.91578685  3.465       5.9346    ],[-0.91578685  2.8476      6.57468   ],[-0.91578685  3.465       5.9346    ],0.0,0.0
417,CIEN,3,44493,130509,3.812417716535433,3.7006977165354336,0.3409190170792819,-0.9157868503937002,-0.9157868503937004,8.288436043003816,8.56502261082523,2.1964131496063,2.7734931496062996,0.6700472234708561,0.6519045863060775,-1.5000000000000004,-1.5,[-3.1122     -0.91578685 15.46524   ],[-3.68928    -0.91578685 15.70716   ],[-3.1122     -0.91578685 15.46524   ],[-3.68928    -0.91578685 15.70716   ],-35.777879928000004,-45.93023124480001
418,AMZN,3,104719,297900,-1.1351822834645668,-1.1553422834645668,0.3515240013427325,-0.9157868503937002,-0.9157868503937004,2.18243135251173,1.9415206315558136,2.3370668503937004,2.0094668503937005,-0.1497760587529617,-0.18319978586332578,-1.5000000000000002,-1.5,[-3.91104    -0.91578685  1.42128   ],[-3.64392    -0.91578685  1.09368   ],[-3.91104    -0.91578685  1.42128   ],[-3.64392    -0.91578685  1.09368   ],-8.048442931200002,-6.535522425599999
419,KHD,3,589,3208,-4.285182283464567,-4.307022283464566,0.18360349127182046,-5.16096,-5.01984,2.472376826011643,2.528669500203155,1.6178400000000002,1.9656000000000002,0.4868910099858186,0.40044098831837055,-1.4999999999999993,-1.5,[-6.7788     -5.16096    -0.91578685],[-6.98544    -5.01984    -0.91578685],[-6.7788     -5.16096    -0.91578685],[-6.98544    -5.01984    -0.91578685],-5.16096,-5.01984
420,Q,3,48749,71174,-0.7185422834645664,-0.7949822834645669,0.6849270801135247,-0.9157868503937002,-0.9157868503937004,3.0915623466447397,3.843463933965749,3.4866531496062994,4.5248931496063,0.09544169633766764,0.047115703034406674,-1.5,-1.5000000000000002,[-4.40244    -0.91578685  3.1626    ],[-5.44068    -0.91578685  3.97152   ],[-4.40244    -0.91578685  3.1626    ],[-5.44068    -0.91578685  3.97152   ],-15.162996743999999,-23.076929433600004
421,BXP,3,28035,111505,-4.665702283464568,-4.743822283464567,0.25142370297296085,-5.463360000000001,-3.22056,2.793680321295107,3.8991695915955007,2.1545999999999994,2.3047731496062993,0.405006678937916,-0.5263727239970052,-1.4999999999999996,-1.5,[-7.61796    -5.46336    -0.91578685],[-10.09512     -3.22056     -0.91578685],[-7.61796    -5.46336    -0.91578685],[-10.09512     -3.22056     -0.91578685],-7.61796,-10.09512
422,RL,3,20605,99305,-1.3703822834645667,-1.5241022834645668,0.20749206988570565,-0.9157868503937002,-0.9157868503937004,1.0837284744272637,1.4058708089494203,0.5856668503937003,0.7267868503937005,-0.5554005756695587,-0.5680326385411981,-1.5,-1.5,[-2.86524    -0.91578685 -0.33012   ],[-3.46752    -0.91578685 -0.189     ],[-2.86524    -0.91578685 -0.33012   ],[-3.46752    -0.91578685 -0.189     ],-2.2494869712,-3.0011587199999994
423,VLO,3,121434,293189,-0.7286222834645669,-0.7235822834645669,0.41418334248556393,-0.9157868503937002,-0.9157868503937004,2.6945554583190314,2.579662038363593,3.0154131496063,2.8667331496062998,0.10385528753137971,0.11134786011130837,-1.5000000000000002,-1.4999999999999998,[-3.9312     -0.91578685  2.66112   ],[-3.78252    -0.91578685  2.52756   ],[-3.9312     -0.91578685  2.66112   ],[-3.78252    -0.91578685  2.52756   ],-11.731474944,-10.815506251200002
