,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
87,ADP,20070723,23,156604,501994,0.00414,0.00284,0.31196,0.0,-0.0252,0.31405,0.30415,0.15624,0.18144,0.43473,0.39993,1.25692,0.69923,"[0.15624 0.15624 0.20916 0.26208 0.31248 0.31248 0.3654  0.57456 0.63
 0.945  ]","[0.18144 0.18144 0.20916 0.20916 0.20916 0.31248 0.39312 0.55188 0.67788
 0.83916]","[-0.73332 -0.62748 -0.41832 -0.3654  -0.26208 -0.26208 -0.25956 -0.20916
 -0.20916 -0.20916]","[-0.6804  -0.52164 -0.49644 -0.3654  -0.31248 -0.31248 -0.26208 -0.20916
 -0.20916 -0.18144]",-0.97788,-0.97461
88,ADP,20070724,24,165249,529130,-0.1017,-0.11353,0.3123,-0.05292,-0.10584,0.82513,0.42346,0.26712,0.2646,-0.72847,-0.1229,9.18414,0.37783,"[0.2142  0.2142  0.2142  0.23436 0.3276  0.42336 0.47376 0.58212 1.008
 2.81988]","[0.15876 0.18648 0.31752 0.37044 0.37044 0.42084 0.47628 0.47628 0.60732
 0.87444]","[-3.56832 -0.9198  -0.70812 -0.693   -0.68544 -0.5796  -0.49896 -0.4788
 -0.47628 -0.47376]","[-1.31292 -0.73584 -0.65772 -0.63504 -0.60732 -0.52668 -0.47628 -0.45108
 -0.39564 -0.39564]",-0.0,-0.0
89,ADP,20070725,25,175728,562487,-0.04355,-0.03295,0.31241,0.0,0.0,0.49958,0.59474,0.37548,0.35028,-0.92062,-1.44022,2.71652,5.20009,"[0.2142  0.37548 0.378   0.43092 0.43092 0.5922  0.64512 0.70056 0.756
 0.91476]","[0.35028 0.4032  0.43092 0.45612 0.64764 0.67284 0.70056 0.72576 0.96012
 1.05084]","[-1.86732 -0.80388 -0.64512 -0.5922  -0.48384 -0.43092 -0.43092 -0.4284
 -0.378   -0.37548]","[-2.47464 -0.8316  -0.67032 -0.53676 -0.51156 -0.48384 -0.48384 -0.48384
 -0.4032  -0.4032 ]",-2.24107,-3.14725
90,ADP,20070726,26,198238,619210,-0.10733,-0.10868,0.32015,-0.05544,0.05544,0.67858,0.70674,0.38304,0.29988,-2.12123,-2.18439,6.07664,5.90184,"[0.38304 0.38304 0.38304 0.43848 0.4914  0.54684 0.54936 0.68292 0.71064
 0.71316]","[0.29988 0.35532 0.35532 0.41076 0.46368 0.51912 0.52164 0.57708 0.68544
 0.96012]","[-2.898   -1.95552 -0.87444 -0.59976 -0.59976 -0.54684 -0.4914  -0.4914
 -0.43848 -0.38304]","[-2.81736 -2.4444  -0.65772 -0.6552  -0.6552  -0.62748 -0.4914  -0.4914
 -0.43596 -0.38304]",-0.99186,-0.98001
91,ADP,20070727,27,214878,661414,-0.08549,-0.08045,0.32488,-0.11088,-0.11088,0.55816,0.55068,0.38556,0.41328,-0.23277,-0.31363,-0.26054,0.09364,"[0.38556 0.38556 0.54936 0.60732 0.60732 0.60732 0.66276 0.66528 0.71568
 1.0458 ]","[0.3024  0.41328 0.52164 0.52416 0.60732 0.63252 0.66276 0.69048 0.74844
 1.01808]","[-1.53468 -1.0962  -0.87444 -0.77112 -0.77112 -0.71316 -0.66024 -0.6048
 -0.49644 -0.38808]","[-1.61532 -1.14912 -0.79884 -0.63252 -0.62748 -0.60732 -0.6048  -0.55188
 -0.52668 -0.52164]",-3.18609,-3.37622
92,ADP,20070730,28,226979,696170,0.06126,0.06113,0.32604,0.0,0.02772,0.58517,0.50473,0.16632,0.19404,-0.85047,-0.20234,4.65429,2.9551,"[0.33264 0.33264 0.33264 0.50148 0.66276 0.72072 0.88452 0.945   0.9954
 1.59516]","[0.33264 0.33264 0.33264 0.36036 0.36288 0.63756 0.69048 0.91224 0.91728
 1.53972]","[-2.205   -0.7182  -0.6678  -0.49896 -0.4914  -0.33012 -0.22176 -0.16632
 -0.16632 -0.11088]","[-1.62792 -0.69048 -0.64008 -0.47124 -0.46368 -0.41328 -0.2772  -0.16632
 -0.1386  -0.1386 ]",-4.09934,-2.92882
93,ADP,20070731,29,242332,735543,0.08167,0.07993,0.32946,0.0,0.02772,0.64096,0.71444,0.37548,0.50652,1.12869,0.93123,2.01356,1.2984,"[0.4284  0.48132 0.48384 0.6426  0.64512 0.71316 0.75348 0.91728 1.78668
 2.18484]","[0.53424 0.59472 0.6174  0.64764 0.94248 1.008   1.0458  1.04832 1.53468
 2.41416]","[-1.01808 -0.9702  -0.71316 -0.5922  -0.54432 -0.48384 -0.48132 -0.4032
 -0.37548 -0.32004]","[-1.20456 -0.93996 -0.83412 -0.75096 -0.6678  -0.567   -0.55944 -0.53928
 -0.50904 -0.48384]",-1.00141,-1.00238
94,ADP,20070801,30,261374,783932,0.04807,0.04471,0.33341,0.10836,0.10836,1.36996,0.77898,0.43848,0.41076,-0.44088,-0.28249,7.1867,2.03582,"[0.43344 0.54684 0.54684 0.65016 0.70308 0.81648 1.35072 1.70604 2.1798
 4.80816]","[0.51408 0.5166  0.51912 0.67536 0.73836 0.84168 0.84672 1.54224 1.56744
 1.96308]","[-5.30208 -2.33352 -0.9198  -0.76356 -0.7056  -0.64764 -0.60228 -0.59724
 -0.54936 -0.43092]","[-2.52504 -0.97272 -0.87192 -0.78624 -0.66024 -0.65268 -0.65016 -0.59724
 -0.48384 -0.43344]",-0.99283,-1.0274
95,ADP,20070802,31,272213,814110,0.10158,0.1028,0.33437,0.10584,0.08064,0.44201,0.42191,0.37296,0.34776,0.47648,0.34817,-0.11934,-0.40352,"[0.42588 0.4788  0.48132 0.53676 0.58464 0.58464 0.58716 0.69048 0.9576
 1.34064]","[0.42588 0.4536  0.504   0.50652 0.58716 0.5922  0.61236 0.66276 0.84924
 1.23228]","[-0.58716 -0.5292  -0.5292  -0.4788  -0.47628 -0.37296 -0.37044 -0.32004
 -0.32004 -0.31752]","[-0.58716 -0.50652 -0.45108 -0.45108 -0.44856 -0.37296 -0.37296 -0.37044
 -0.34524 -0.32004]",-0.86078,-0.82209
96,ADP,20070803,32,286793,845304,0.01667,0.01667,0.33928,0.05292,0.0252,0.47566,0.44136,0.315,0.315,-0.84915,-0.66979,0.9202,0.04345,"[0.47628 0.4788  0.4788  0.52668 0.53172 0.58212 0.58212 0.63504 0.68796
 0.74592]","[0.45108 0.45108 0.47376 0.47628 0.50148 0.50148 0.55944 0.60732 0.60984
 0.68796]","[-1.48176 -0.95004 -0.7434  -0.63756 -0.5796  -0.53172 -0.31752 -0.31752
 -0.26208 -0.26208]","[-1.18944 -0.92232 -0.7686  -0.60984 -0.55692 -0.52668 -0.31752 -0.2898
 -0.2898  -0.26208]",-0.0,-0.0
