,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
31,SUNW,20070803,32,1009889,1514337,-2.71026,-2.70774,0.66689,-2.71026,-2.70774,1.72746,1.72746,1.72746,1.72746,0.0,-0.0,-2.0,-2.0,[-4.43772 -0.9828 ],[-4.4352  -0.98028],[-4.43772 -0.9828 ],[-4.4352  -0.98028],-4.43772,-4.4352
32,SUNW,20070806,33,1049598,1569704,-2.268,-2.51748,0.66866,-2.268,-2.51748,0.7434,0.99288,0.7434,0.99288,-0.0,0.0,-2.0,-2.0,[-3.0114 -1.5246],[-3.51036 -1.5246 ],[-3.0114 -1.5246],[-3.51036 -1.5246 ],-0.0,-0.0
33,SUNW,20070807,34,1088495,1630294,0.0252,0.2772,0.66767,0.0252,0.2772,3.5532,3.30372,3.5532,3.30372,0.0,0.0,-2.0,-2.0,[-3.528   3.5784],[-3.02652  3.58092],[-3.528   3.5784],[-3.02652  3.58092],-3.528,-3.02652
34,SUNW,20070808,35,1124382,1679568,2.07774,2.06766,0.66945,2.07774,2.06766,4.5675,4.06098,4.5675,4.06098,-0.0,0.0,-2.0,-2.0,[-2.48976  6.64524],[-1.99332  6.12864],[-2.48976  6.64524],[-1.99332  6.12864],-2.48976,-1.99332
35,SUNW,20070809,36,1180319,1743967,-4.81824,-5.06898,0.6768,-4.81824,-5.06898,1.79928,1.80306,1.79928,1.80306,-0.0,-0.0,-2.0,-2.0,[-6.61752 -3.01896],[-6.87204 -3.26592],[-6.61752 -3.01896],[-6.87204 -3.26592],-0.0,-0.0
36,SUNW,20070810,37,1251647,1826837,-4.43268,-4.31298,0.68514,-4.43268,-4.31298,4.977,4.58514,4.977,4.58514,-0.0,0.0,-2.0,-2.0,[-9.40968  0.54432],[-8.89812  0.27216],[-9.40968  0.54432],[-8.89812  0.27216],-0.0,-0.0
37,SUNW,20070813,38,1288746,1873951,3.76488,3.63384,0.68772,3.76488,3.63384,0.56952,0.97272,0.56952,0.97272,0.0,-0.0,-2.0,-2.0,[3.19536 4.3344 ],[2.66112 4.60656],[3.19536 4.3344 ],[2.66112 4.60656],0.0,0.0
38,SUNW,20070814,39,1322473,1923353,-2.62458,-2.36502,0.68759,-2.62458,-2.36502,3.15126,2.8917,3.15126,2.8917,0.0,0.0,-2.0,-2.0,[-5.77584  0.52668],[-5.25672  0.52668],[-5.77584  0.52668],[-5.25672  0.52668],-5.77584,-5.25672
39,SUNW,20070815,40,1350973,1958954,0.27216,0.00252,0.68964,0.27216,0.00252,1.34568,1.07604,1.34568,1.07604,0.0,0.0,-2.0,-2.0,[-1.07352  1.61784],[-1.07352  1.07856],[-1.07352  1.61784],[-1.07352  1.07856],-0.0,-0.0
40,SUNW,20070816,41,1404861,2088243,0.04662,0.3213,0.67275,0.04662,0.3213,4.87242,5.15214,4.87242,5.15214,0.0,0.0,-2.0,-2.0,[-4.8258   4.91904],[-4.83084  5.47344],[-4.8258   4.91904],[-4.83084  5.47344],-0.0,-0.0
