,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
2366,SUNW,20070917,6875,36602000,300,4.889999866485596,-0.01012
2367,SUNW,20070917,8129,37202000,100,4.889999866485596,0.0
2368,SUNW,20070917,9912,37802000,1000,4.900000095367432,0.00205
2369,SUNW,20070917,10661,38402000,500,4.920000076293945,0.00408
2370,SUNW,20070917,11292,39002000,200,4.920000076293945,0.0
2371,SUNW,20070917,11790,39602000,100,4.929999828338623,0.00203
2372,SUNW,20070917,12250,40202000,100,4.940000057220459,0.00203
2373,SUNW,20070917,12488,40802000,116,4.940000057220459,0.0
2374,SUNW,20070917,13529,41402000,300,4.940000057220459,0.0
2375,SUNW,20070917,14295,42002000,1000,4.949999809265137,0.00202
2376,SUNW,20070917,15065,42602000,500,4.960000038146973,0.00202
2377,SUNW,20070917,17029,43202000,800,4.989999771118164,0.00605
2378,SUNW,20070917,18672,43802000,300,4.994999885559082,0.001
2379,SUNW,20070917,19479,44402000,100,5.0,0.001
2380,SUNW,20070917,20070,45002000,6500,4.989999771118164,-0.002
2381,SUNW,20070917,20518,45602000,2837,4.989999771118164,0.0
2382,SUNW,20070917,21868,46202000,300,4.985000133514404,-0.001
2383,SUNW,20070917,22100,46802000,2500,4.989999771118164,0.001
2384,SUNW,20070917,23122,47402000,400,4.989999771118164,0.0
2385,SUNW,20070917,23510,48002000,500,4.999899864196777,0.00198
2386,SUNW,20070917,23971,48602000,3800,4.989999771118164,-0.00198
2387,SUNW,20070917,24449,49202000,800,4.980000019073486,-0.002
2388,SUNW,20070917,24791,49802000,100,4.980000019073486,0.0
2389,SUNW,20070917,26765,50402000,1400,5.0,0.00402
2390,SUNW,20070917,27032,51002000,214,5.010000228881836,0.002
2391,SUNW,20070917,28110,51602000,400,5.03000020980835,0.00399
2392,SUNW,20070917,28871,52202000,100,5.014999866485596,-0.00298
2393,SUNW,20070917,30319,52802000,1000,5.039999961853027,0.00499
2394,SUNW,20070917,31898,53402000,100,5.045000076293945,0.00099
2395,SUNW,20070917,32651,54002000,500,5.019999980926514,-0.00496
2396,SUNW,20070917,33578,54602000,4858,5.0,-0.00398
2397,SUNW,20070917,34878,55202000,9900,5.0,0.0
2398,SUNW,20070917,35870,55802000,1100,5.0,0.0
2399,SUNW,20070917,36924,56402000,3900,5.010000228881836,0.002
2400,SUNW,20070917,37835,57002000,2200,5.010000228881836,0.0
2401,SUNW,20070918,0,34202000,188340,4.949999809265137,-0.01198
2402,SUNW,20070918,1106,34802000,18000,4.940000057220459,-0.00202
2403,SUNW,20070918,2124,35402000,200,4.929999828338623,-0.00202
2404,SUNW,20070918,4618,36002000,2500,4.940000057220459,0.00203
2405,SUNW,20070918,6875,36602000,300,4.889999866485596,-0.01012
2406,SUNW,20070918,8129,37202000,100,4.889999866485596,0.0
2407,SUNW,20070918,9912,37802000,1000,4.900000095367432,0.00205
2408,SUNW,20070918,10661,38402000,500,4.920000076293945,0.00408
2409,SUNW,20070918,11292,39002000,200,4.920000076293945,0.0
2410,SUNW,20070918,11790,39602000,100,4.929999828338623,0.00203
2411,SUNW,20070918,12250,40202000,100,4.940000057220459,0.00203
2412,SUNW,20070918,12488,40802000,116,4.940000057220459,0.0
2413,SUNW,20070918,13529,41402000,300,4.940000057220459,0.0
2414,SUNW,20070918,14295,42002000,1000,4.949999809265137,0.00202
2415,SUNW,20070918,15065,42602000,500,4.960000038146973,0.00202
2416,SUNW,20070918,17029,43202000,800,4.989999771118164,0.00605
2417,SUNW,20070918,18672,43802000,300,4.994999885559082,0.001
2418,SUNW,20070918,19479,44402000,100,5.0,0.001
2419,SUNW,20070918,20070,45002000,6500,4.989999771118164,-0.002
2420,SUNW,20070918,20518,45602000,2837,4.989999771118164,0.0
2421,SUNW,20070918,21868,46202000,300,4.985000133514404,-0.001
2422,SUNW,20070918,22100,46802000,2500,4.989999771118164,0.001
2423,SUNW,20070918,23122,47402000,400,4.989999771118164,0.0
2424,SUNW,20070918,23510,48002000,500,4.999899864196777,0.00198
2425,SUNW,20070918,23971,48602000,3800,4.989999771118164,-0.00198
2426,SUNW,20070918,24449,49202000,800,4.980000019073486,-0.002
2427,SUNW,20070918,24791,49802000,100,4.980000019073486,0.0
2428,SUNW,20070918,26765,50402000,1400,5.0,0.00402
2429,SUNW,20070918,27032,51002000,214,5.010000228881836,0.002
2430,SUNW,20070918,28110,51602000,400,5.03000020980835,0.00399
2431,SUNW,20070918,28871,52202000,100,5.014999866485596,-0.00298
2432,SUNW,20070918,30319,52802000,1000,5.039999961853027,0.00499
2433,SUNW,20070918,31898,53402000,100,5.045000076293945,0.00099
2434,SUNW,20070918,32651,54002000,500,5.019999980926514,-0.00496
2435,SUNW,20070918,33578,54602000,4858,5.0,-0.00398
2436,SUNW,20070918,34878,55202000,9900,5.0,0.0
2437,SUNW,20070918,35870,55802000,1100,5.0,0.0
2438,SUNW,20070918,36924,56402000,3900,5.010000228881836,0.002
2439,SUNW,20070918,37835,57002000,2200,5.010000228881836,0.0
2440,SUNW,20070919,0,34202000,188340,4.949999809265137,-0.01198
2441,SUNW,20070919,1106,34802000,18000,4.940000057220459,-0.00202
2442,SUNW,20070919,2124,35402000,200,4.929999828338623,-0.00202
2443,SUNW,20070919,4618,36002000,2500,4.940000057220459,0.00203
2444,SUNW,20070919,6875,36602000,300,4.889999866485596,-0.01012
