,Ticker,Date,N,MillisFromMidn,AskSize,AskPrice,BidSize,BidPrice,MidQuote,Returns
1,BDK,20070621,0,34286000,9,88.63999938964844,5,87.83999633789062,88.23999786376953,-0.01154
2,BDK,20070622,0,34661000,1,88.81999969482422,1,88.73999786376953,88.77999877929688,0.00612
0,LUK,20070620,0,34226000,2,36.95000076293945,6,36.84000015258789,36.89500045776367,
1,LUK,20070621,0,34293000,1,36.720001220703125,14,36.599998474121094,36.65999984741211,-0.00637
2,LUK,20070622,0,34229000,6,36.7400016784668,3,36.540000915527344,36.64000129699707,-0.00055
0,ABT,20070620,0,34237000,1,54.81999969482422,8,54.77000045776367,54.795000076293945,
1,ABT,20070621,0,34217000,1,54.2599983215332,9,54.0,54.1299991607666,-0.01214
2,ABT,20070622,0,34272000,6,53.70000076293945,3,53.66999816894531,53.68499946594238,-0.00822
0,DOW,20070620,0,34209000,55,45.52000045776367,14,45.5099983215332,45.51499938964844,
1,DOW,20070621,0,34216000,1,45.29999923706055,21,45.150001525878906,45.22500038146973,-0.00637
2,DOW,20070622,0,34238000,3,45.2400016784668,1,45.209999084472656,45.22500038146973,0.0
0,LMT,20070620,0,34243000,10,96.94000244140625,2,96.79000091552734,96.8650016784668,
1,LMT,20070621,0,34211000,5,95.1500015258789,2,94.81999969482422,94.98500061035156,-0.01941
2,LMT,20070622,0,34268000,2,94.94000244140625,2,94.75,94.84500122070312,-0.00147
0,MWV,20070620,0,34260000,40,35.75,2,35.650001525878906,35.70000076293945,
1,MWV,20070621,0,34218000,1,35.2400016784668,2,35.06999969482422,35.15500068664551,-0.01527
2,MWV,20070622,0,34220000,1,35.13999938964844,8,35.04999923706055,35.09499931335449,-0.00171
0,NEM,20070620,0,34364000,11,40.70000076293945,3,40.650001525878906,40.67500114440918,
1,NEM,20070621,0,34212000,1,39.810001373291016,1,39.779998779296875,39.795000076293945,-0.02163
2,NEM,20070622,0,34287000,50,40.0,1,40.0,40.0,0.00515
0,CAH,20070620,0,34231000,7,70.58000183105469,15,70.5199966430664,70.54999923706055,
1,CAH,20070621,0,34317000,10,69.9000015258789,10,69.6500015258789,69.7750015258789,-0.01099
2,CAH,20070622,0,34299000,2,70.5199966430664,10,70.30000305175781,70.40999984741211,0.0091
0,IP,20070620,0,34234000,11,38.900001525878906,5,38.5,38.70000076293945,
1,IP,20070621,0,34210000,12,38.439998626708984,12,38.31999969482422,38.3799991607666,-0.00827
2,IP,20070622,0,34212000,1,38.709999084472656,1,38.560001373291016,38.635000228881836,0.00664
0,EXC,20070620,0,34378000,67,74.1500015258789,2,74.0999984741211,74.125,
1,EXC,20070621,0,34229000,10,71.05999755859375,5,71.0,71.02999877929688,-0.04175
2,EXC,20070622,0,34401000,27,71.5,39,71.37999725341797,71.43999862670898,0.00577
0,CNP,20070620,0,34398000,38,18.040000915527344,50,17.90999984741211,17.975000381469727,
1,CNP,20070621,0,34245000,2,17.31999969482422,10,17.299999237060547,17.309999465942383,-0.037
2,CNP,20070622,0,34382000,15,17.479999542236328,13,17.290000915527344,17.385000228881836,0.00433
0,PFE,20070620,0,34241000,22,26.200000762939453,67,26.170000076293945,26.1850004196167,
1,PFE,20070621,0,34225000,47,25.799999237060547,27,25.729999542236328,25.764999389648438,-0.01604
2,PFE,20070622,0,34266000,22,25.780000686645508,224,25.760000228881836,25.770000457763672,0.00019
0,CBE,20070620,0,34348000,2,57.36000061035156,6,57.04999923706055,57.204999923706055,
1,CBE,20070621,0,34429000,1,56.959999084472656,5,56.91999816894531,56.939998626708984,-0.00463
2,CBE,20070622,0,34260000,5,56.900001525878906,2,56.650001525878906,56.775001525878906,-0.0029
0,EMR,20070620,0,34272000,44,49.5,12,49.290000915527344,49.39500045776367,
1,EMR,20070621,0,34286000,5,47.900001525878906,4,47.75,47.82500076293945,-0.03178
2,EMR,20070622,0,34278000,4,47.90999984741211,1,47.849998474121094,47.8799991607666,0.00115
0,JNJ,20070620,0,34215000,6,62.560001373291016,73,62.5,62.53000068664551,
1,JNJ,20070621,0,34220000,1,61.939998626708984,1,61.90999984741211,61.92499923706055,-0.00968
2,JNJ,20070622,0,34219000,4,61.9900016784668,10,61.79999923706055,61.89500045776367,-0.00048
0,GLW,20070620,0,34208000,10,26.239999771118164,10,26.200000762939453,26.22000026702881,
1,GLW,20070621,0,34209000,1,25.559999465942383,33,25.469999313354492,25.514999389648438,-0.02689
2,GLW,20070622,0,34205000,2,25.690000534057617,4,25.6299991607666,25.65999984741211,0.00568
0,PPG,20070620,0,34224000,4,75.0999984741211,4,74.93000030517578,75.01499938964844,
1,PPG,20070621,0,34246000,1,74.20999908447266,2,74.16000366210938,74.18500137329102,-0.01106
2,PPG,20070622,0,34326000,2,74.2300033569336,2,74.1500015258789,74.19000244140625,7e-05
0,PPL,20070620,0,34498000,26,47.279998779296875,1,47.119998931884766,47.19999885559082,
1,PPL,20070621,0,34310000,10,45.63999938964844,2,45.29999923706055,45.46999931335449,-0.03665
2,PPL,20070622,0,34326000,2,46.0099983215332,4,45.720001220703125,45.864999771118164,0.00869
