,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
2,GT,20070622,0,34267000,37100,34.54999923706055,0.00964
0,HSY,20070620,0,34222000,8900,51.099998474121094,
1,HSY,20070621,0,34207000,5300,50.5,-0.01174
2,HSY,20070622,0,34234000,33900,50.150001525878906,-0.00693
0,KR,20070620,0,34246000,36300,30.34000015258789,
1,KR,20070621,0,34207000,38200,30.059999465942383,-0.00923
2,KR,20070622,0,34434000,51300,29.93000030517578,-0.00432
0,CVS,20070620,0,34214000,127800,37.52000045776367,
1,CVS,20070621,0,34359000,71200,36.900001525878906,-0.01652
2,CVS,20070622,0,34218000,26900,36.95000076293945,0.00135
0,GIS,20070620,0,34279000,20200,59.849998474121094,
1,GIS,20070621,0,34205000,11600,59.060001373291016,-0.0132
2,GIS,20070622,0,34242000,16600,58.900001525878906,-0.00271
0,MHP,20070620,0,34240000,23500,71.93000030517578,
1,MHP,20070621,0,34219000,14500,69.29000091552734,-0.0367
2,MHP,20070622,0,34340000,11300,69.83999633789062,0.00794
0,KMB,20070620,0,34251000,22700,68.43000030517578,
1,KMB,20070621,0,34266000,32100,67.4000015258789,-0.01505
2,KMB,20070622,0,34274000,9700,67.47000122070312,0.00104
0,UTX,20070620,0,34292000,65000,72.19000244140625,
1,UTX,20070621,0,34208000,45900,71.69000244140625,-0.00693
2,UTX,20070622,0,34212000,63100,72.05000305175781,0.00502
0,HPC,20070620,0,34285000,9200,19.299999237060547,
1,HPC,20070621,0,34209000,13500,18.959999084472656,-0.01762
2,HPC,20070622,0,34292000,7100,19.15999984741211,0.01055
0,PG,20070620,0,34206000,100,61.81999969482422,
1,PG,20070621,0,34208000,112600,62.029998779296875,0.0034
2,PG,20070622,0,34213000,148400,61.880001068115234,-0.00242
0,JCP,20070620,0,34209000,37200,75.19999694824219,
1,JCP,20070621,0,34279000,23200,74.11000061035156,-0.01449
2,JCP,20070622,0,34211000,19300,73.30000305175781,-0.01093
0,SO,20070620,0,34293000,25800,35.459999084472656,
1,SO,20070621,0,34265000,26100,34.56999969482422,-0.0251
2,SO,20070622,0,34214000,117200,34.0099983215332,-0.0162
0,CAT,20070620,0,34249000,57900,82.87999725341797,
1,CAT,20070621,0,34201000,200,81.01000213623047,-0.02256
2,CAT,20070622,0,34211000,35500,81.47000122070312,0.00568
0,CL,20070620,0,34562000,106000,66.69000244140625,
1,CL,20070621,0,34287000,18200,66.30000305175781,-0.00585
2,CL,20070622,0,34324000,37000,65.9800033569336,-0.00483
0,DE,20070620,0,34297000,15400,121.63999938964844,
1,DE,20070621,0,34260000,8800,121.5,-0.00115
2,DE,20070622,0,34379000,22100,123.30000305175781,0.01481
0,BMY,20070620,0,34210000,150100,31.56999969482422,
1,BMY,20070621,0,34217000,200,31.450000762939453,-0.0038
2,BMY,20070622,0,34265000,100,31.8799991607666,0.01367
0,WAG,20070620,0,34216000,62100,43.849998474121094,
1,WAG,20070621,0,34242000,72000,43.66999816894531,-0.0041
2,WAG,20070622,0,34322000,1000,44.70000076293945,0.02359
0,BA,20070620,0,34230000,50700,97.0999984741211,
1,BA,20070621,0,34230000,52600,96.08000183105469,-0.0105
2,BA,20070622,0,34219000,39300,96.63999938964844,0.00583
0,BDK,20070620,0,34278000,4100,89.1500015258789,
1,BDK,20070621,0,34286000,2700,88.63999938964844,-0.00572
2,BDK,20070622,0,34662000,1500,88.80999755859375,0.00192
0,LUK,20070620,0,34227000,4000,36.88999938964844,
1,LUK,20070621,0,34294000,2900,36.709999084472656,-0.00488
2,LUK,20070622,0,34229000,2500,36.72999954223633,0.00054
0,ABT,20070620,0,34238000,56700,54.93000030517578,
1,ABT,20070621,0,34218000,52000,54.18000030517578,-0.01365
2,ABT,20070622,0,34272000,55500,53.689998626708984,-0.00904
0,DOW,20070620,0,34209000,45100,45.52000045776367,
1,DOW,20070621,0,34201000,100,45.40999984741211,-0.00242
2,DOW,20070622,0,34238000,43700,45.22999954223633,-0.00396
0,LMT,20070620,0,34243000,17200,96.80000305175781,
1,LMT,20070621,0,34212000,12500,94.8499984741211,-0.02014
2,LMT,20070622,0,34269000,11700,94.93000030517578,0.00084
0,MWV,20070620,0,34261000,15500,35.7400016784668,
1,MWV,20070621,0,34218000,7600,35.22999954223633,-0.01427
2,MWV,20070622,0,34220000,18000,35.130001068115234,-0.00284
0,NEM,20070620,0,34364000,73400,40.689998626708984,
1,NEM,20070621,0,34213000,70600,39.79999923706055,-0.02187
2,NEM,20070622,0,34218000,200,40.0099983215332,0.00528
0,CAH,20070620,0,34231000,14200,70.55000305175781,
1,CAH,20070621,0,34317000,28400,69.69999694824219,-0.01205
2,CAH,20070622,0,34299000,12600,70.51000213623047,0.01162
0,IP,20070620,0,34234000,16600,38.88999938964844,
1,IP,20070621,0,34210000,24600,38.38999938964844,-0.01286
2,IP,20070622,0,34213000,17800,38.70000076293945,0.00808
0,EXC,20070620,0,34379000,32900,74.1500015258789,
1,EXC,20070621,0,34229000,15700,71.05000305175781,-0.04181
2,EXC,20070622,0,34402000,22100,71.48999786376953,0.00619
0,CNP,20070620,0,34399000,30700,18.020000457763672,
1,CNP,20070621,0,34245000,10100,17.31999969482422,-0.03885
2,CNP,20070622,0,34383000,18500,17.299999237060547,-0.00115
0,PFE,20070620,0,34202000,100,26.3799991607666,
1,PFE,20070621,0,34225000,337700,25.739999771118164,-0.02426
2,PFE,20070622,0,34267000,359500,25.770000457763672,0.00117
0,CBE,20070620,0,34290000,100,56.880001068115234,
1,CBE,20070621,0,34430000,6500,57.0,0.00211
2,CBE,20070622,0,34260000,8200,56.65999984741211,-0.00596
0,EMR,20070620,0,34211000,100,49.939998626708984,
1,EMR,20070621,0,34287000,100,48.04999923706055,-0.03785
2,EMR,20070622,0,34278000,26800,47.900001525878906,-0.00312
0,JNJ,20070620,0,34215000,124400,62.52000045776367,
1,JNJ,20070621,0,34220000,92300,61.90999984741211,-0.00976
2,JNJ,20070622,0,34219000,111900,61.849998474121094,-0.00097
0,GLW,20070620,0,34209000,192000,26.229999542236328,
1,GLW,20070621,0,34210000,193600,25.479999542236328,-0.02859
2,GLW,20070622,0,34205000,123700,25.649999618530273,0.00667
0,PPG,20070620,0,34224000,5300,75.01000213623047,
1,PPG,20070621,0,34246000,3500,74.19000244140625,-0.01093
2,PPG,20070622,0,34327000,12700,74.18000030517578,-0.00013
0,PPL,20070620,0,34346000,100,46.540000915527344,
1,PPL,20070621,0,34310000,12000,45.5,-0.02235
2,PPL,20070622,0,34327000,10100,46.0,0.01099
0,MMM,20070620,0,34239000,35500,87.97000122070312,
1,MMM,20070621,0,34261000,39600,86.91000366210938,-0.01205
2,MMM,20070622,0,34201000,500,86.55999755859375,-0.00403
0,MRK,20070620,0,34230000,140200,50.0,
1,MRK,20070621,0,34310000,87500,49.04999923706055,-0.019
2,MRK,20070622,0,34315000,159200,48.91999816894531,-0.00265
0,MOT,20070620,0,34211000,1000,18.1200008392334,
1,MOT,20070621,0,34212000,200,17.90999984741211,-0.01159
2,MOT,20070622,0,34226000,142500,18.030000686645508,0.0067
0,SLE,20070620,0,34210000,17600,17.780000686645508,
1,SLE,20070621,0,34228000,23700,17.540000915527344,-0.0135
2,SLE,20070622,0,34202000,45800,17.5,-0.00228
0,FE,20070620,0,34253000,15400,65.76000213623047,
1,FE,20070621,0,34241000,11000,63.29999923706055,-0.03741
2,FE,20070622,0,34437000,57500,65.77999877929688,0.03918
0,HNZ,20070620,0,34639000,11500,46.81999969482422,
1,HNZ,20070621,0,34324000,20600,45.58000183105469,-0.02648
2,HNZ,20070622,0,34260000,100,46.61000061035156,0.0226
0,PGN,20070620,0,34260000,9000,47.7400016784668,
1,PGN,20070621,0,34287000,100,46.439998626708984,-0.02723
2,PGN,20070622,0,34286000,5400,46.29999923706055,-0.00301
0,CMS,20070620,0,34245000,5900,17.43000030517578,
1,CMS,20070621,0,34300000,10900,16.81999969482422,-0.035
2,CMS,20070622,0,34278000,8300,16.959999084472656,0.00832
0,CINF,20070620,0,34200000,7471,45.41999816894531,
1,CINF,20070621,0,34202000,5391,44.47999954223633,-0.0207
2,CINF,20070622,0,34201000,5141,44.15999984741211,-0.00719
0,POM,20070620,0,34231000,22900,28.3700008392334,
1,POM,20070621,0,34264000,6900,27.790000915527344,-0.02044
2,POM,20070622,0,34434000,8600,28.239999771118164,0.01619
0,WEC,20070620,0,34465000,3400,45.04999923706055,
1,WEC,20070621,0,34280000,5000,44.15999984741211,-0.01976
2,WEC,20070622,0,34210000,24100,44.13999938964844,-0.00045
